Type,Module,Layer,Usage,StructuralStatus,IsStructuralCandidate,IsUnresolved,IsIsolated,IsEntryPoint
IAnalysisResult,RefactorScope,Core,31,Coerente,0,0,0,0
IAnalyzer,RefactorScope,Core,12,Coerente,0,0,0,0
IExporter,RefactorScope,Core,12,Coerente,0,0,0,0
IParserCodigo,RefactorScope,Core,8,Coerente,0,0,0,0
IParserResult,RefactorScope,Core,10,Coerente,0,0,0,0
IPipelineStep,RefactorScope,Core,0,Coerente,0,0,1,0
IPreParser,RefactorScope,Core,3,Coerente,0,0,0,0
DumpStrategyConfig,RefactorScope,Core,1,Coerente,0,0,0,0
EstimatorConfig,RefactorScope,Core,1,Coerente,0,0,0,0
FitnessGateConfig,RefactorScope,Core,7,Coerente,0,0,0,0
DeadCodeGateConfig,RefactorScope,Core,5,Coerente,0,0,0,0
CouplingGateConfig,RefactorScope,Core,5,Coerente,0,0,0,0
CoreIsolationGateConfig,RefactorScope,Core,5,Coerente,0,0,0,0
FitnessGateConfigResolver,RefactorScope,Core,0,Coerente,1,0,1,0
RefactorScopeConfig,RefactorScope,Core,5,Coerente,0,0,0,0
StatisticsConfig,RefactorScope,Core,1,Coerente,0,0,0,0
StructuralCandidateDetectionOptions,RefactorScope,Core,1,Coerente,0,0,0,0
AnalysisContext,RefactorScope,Core,50,Coerente,0,0,0,0
AnalysisContextExtensions,RefactorScope,Core,0,Coerente,1,0,1,0
LayerRuleConfig,RefactorScope,Core,2,Coerente,0,0,0,0
ArchitecturalHealthDatasetBuilder,RefactorScope,Core,0,Coerente,1,0,1,0
GlobalMetricsDatasetBuilder,RefactorScope,Core,0,Coerente,1,0,1,0
GlobalTypesDatasetBuilder,RefactorScope,Core,0,Coerente,1,0,1,0
IAnalyticalDatasetBuilder,RefactorScope,Core,10,Coerente,0,0,0,0
ModuleContributionDatasetBuilder,RefactorScope,Core,0,Coerente,1,0,1,0
StructuralOverviewDatasetBuilder,RefactorScope,Core,0,Coerente,1,0,1,0
StructuralScoreDatasetBuilder,RefactorScope,Core,0,Coerente,1,0,1,0
StructuralTrendDatasetBuilder,RefactorScope,Core,0,Coerente,1,0,1,0
TypeContributionDatasetBuilder,RefactorScope,Core,0,Coerente,1,0,1,0
FitnessGateEvaluator,RefactorScope,Core,0,Coerente,1,0,1,0
ArchitecturalMetrics,RefactorScope,Core,3,Coerente,0,0,0,0
ArchitecturalMetricsBuilder,RefactorScope,Core,2,Coerente,0,0,0,0
ArchitecturalScoreCalculator,RefactorScope,Core,4,Coerente,0,0,0,0
ArchitecturalClassificationItem,RefactorScope,Core,7,Coerente,0,0,0,0
ArquivoInfo,RefactorScope,Core,9,Coerente,0,0,0,0
CouplingSuspicion,RefactorScope,Core,5,Coerente,0,0,0,0
HygieneReport,RefactorScope,Core,6,Coerente,0,0,0,0
ModeloEstrutural,RefactorScope,Core,17,Coerente,0,0,0,0
ReferenciaInfo,RefactorScope,Core,14,Coerente,0,0,0,0
TipoInfo,RefactorScope,Core,23,Coerente,0,0,0,0
AnalysisOrchestrator,RefactorScope,Core,0,Coerente,1,0,1,0
ParserExecutionStats,RefactorScope,Core,11,Coerente,0,0,0,0
ParserResult,RefactorScope,Core,12,Coerente,0,0,0,0
ParserSelector,RefactorScope,Core,0,Coerente,1,0,1,0
PlausibilityEvaluator,RefactorScope,Core,11,Coerente,0,0,0,0
SanitizedSourceProvider,RefactorScope,Core,7,Coerente,0,0,0,0
DesignPatternSignatureLibrary,RefactorScope,Core,2,Coerente,0,0,0,0
PatternRule,RefactorScope,Core,2,Coerente,0,0,0,0
PatternSignatureResult,RefactorScope,Core,4,Coerente,0,0,0,0
StructuralHeuristicLibrary,RefactorScope,Core,2,Coerente,0,0,0,0
ReportConsolidator,RefactorScope,UI,0,DriftArquitetural,1,0,0,0
ArchitecturalClassificationResult,RefactorScope,Core,29,Coerente,0,0,0,0
ConsolidatedReport,RefactorScope,Core,32,Coerente,0,0,0,0
ConsolidatedReportExtensions,RefactorScope,Core,0,Coerente,1,0,1,0
CoreIsolationResult,RefactorScope,Core,20,Coerente,0,0,0,0
CouplingResult,RefactorScope,Core,24,Coerente,0,0,0,0
EffortEstimateResult,RefactorScope,Core,2,Coerente,0,0,0,0
EntryPointHeuristicResult,RefactorScope,Core,14,Coerente,0,0,0,0
FitnessGateResult,RefactorScope,Core,8,Coerente,0,0,0,0
FitnessGateStatus,RefactorScope,Core,4,Coerente,0,0,0,0
ImplicitCouplingResult,RefactorScope,Core,8,Coerente,0,0,0,0
ProjectStructureResult,RefactorScope,Core,4,Coerente,0,0,0,0
StatisticsResult,RefactorScope,Core,0,Coerente,1,0,1,0
StructuralBreakdownExtensions,RefactorScope,Core,0,Coerente,1,0,1,0
StructuralCandidateAnalysisBreakdown,RefactorScope,Core,9,Coerente,0,0,0,0
StructuralCandidateProbabilityItem,RefactorScope,Core,5,Coerente,0,0,0,0
StructuralCandidateProbabilityResult,RefactorScope,Core,4,Coerente,0,0,0,0
StructuralCandidateResult,RefactorScope,Core,12,Coerente,0,0,0,0
ScopeFilteredFileDiscovery,RefactorScope,Core,0,Coerente,1,0,1,0
ScopeRuleSet,RefactorScope,Core,8,Coerente,0,0,0,0
StructuralAlignmentEvaluator,RefactorScope,Core,2,Coerente,0,0,0,0
